,title,view,channel,uploadtime,length,link,subscriber,like,dislike
0,Unprecedented restrictions in Italy over coronavirus outbreak,22K views,CNN,3 hours ago,8:18,https://www.youtube.com/watch?v=v_vDjR5zBDk,8.71M,735,124
1,New York reels with largest coronavirus outbreak in US | WNT,264K views,ABC News,11 hours ago,3:57,https://www.youtube.com/watch?v=7JedXOgOPC8,7.86M,"2,082",223
2,Trump urges calm at coronavirus task force briefing,442K views,CBS News,10 hours ago,5:51,https://www.youtube.com/watch?v=zSfbAP3emSE,2.39M,"2,610","2,208"
3,Governor Cuomo Gives Updates On Coronavirus In New York | Katy Tur | MSNBC,98K views,MSNBC,14 hours ago,5:36,https://www.youtube.com/watch?v=06Q1CQd33zM,2.42M,711,253
4,Coronavirus: Cruise Ship Carrying People With Coronavirus Docks In California | NBC Nightly News,209K views,NBC News,10 hours ago,13:34,https://www.youtube.com/watch?v=sku3zWvLXnM,1.96M,919,101
5,Growing Fears Over Response To Coronavirus As Number Of Confirmed Cases Soar | NBC Nightly News,1.3M views,NBC News,1 day ago,11:09,https://www.youtube.com/watch?v=GLsXcv5zouQ,1.96M,"10,797","1,975"
6,Fast moving developments in the coronavirus outbreak,605K views,ABC News,1 day ago,4:45,https://www.youtube.com/watch?v=ya3Pqasvyno,7.86M,"5,563",839
7,CNN polled Americans about coronavirus. Here's what they said,364K views,CNN,14 hours ago,3:27,https://www.youtube.com/watch?v=4Vsjtvm4cyA,8.71M,"3,357",678
8,Fmr. Obama Economist: Trump's Coronavirus Payroll Tax Cut Not The Answer | The Last Word | MSNBC,50K views,MSNBC,7 hours ago,4:41,https://www.youtube.com/watch?v=AvLWF12Lpbs,2.42M,921,130
9,California Governor Gavin Newsom gives update on coronavirus outbreak,122K views,CBS News,1 day ago,41:59:00,https://www.youtube.com/watch?v=uW3aTBcK3go,2.39M,"1,095",214
10,Coronavirus: Answering 4 of the most 'Googled' questions | USA TODAY,185K views,USA TODAY,21 hours ago,3:12,https://www.youtube.com/watch?v=jK5NVWfFBO8,1.36M,"1,267",341
