,title,view,channel,uploadtime,length,link,subscriber,like,dislike
0,Coronavirus Causes Disruptions For U.S. Airlines | NBC Nightly News,19K views,NBC News,4 hours ago,1:48,https://www.youtube.com/watch?v=xcGUv4thtHA,1.96M,203,21
1,"Coronavirus Epidemic Update 34: US Cases Surge, Chloroquine & Zinc Treatment Combo, Italy Lockdown",207K views,MedCram - Medical Lectures Explained CLEARLY,10 hours ago,17:29,https://www.youtube.com/watch?v=U7F1cnWup9M,577K,"7,966",113
2,Iran Played Down the Coronavirus. Then Its Officials Got Sick | NYT News,69K views,The New York Times,8 hours ago,4:07,https://www.youtube.com/watch?v=lm2UFynetJw,2.54M,"1,590",107
3,Coronavirus survivor reveals what it's like to have Covid-19,516K views,Channel 4 News,12 hours ago,8:11,https://www.youtube.com/watch?v=G9oqvJ3iXGI,1.14M,"8,657",419
4,Pence Delivers Coronavirus Update After Trump Travels To Capitol Hill | MTP Daily | MSNBC,65K views,MSNBC,6 hours ago,6:36,https://www.youtube.com/watch?v=DzfqaU23pv8,2.42M,573,416
5,"Coronavirus Epidemic Update 33: COVID-19 Medication Treatment Trials, Global Testing Remains Limited",296K views,MedCram - Medical Lectures Explained CLEARLY,1 day ago,8:10,https://www.youtube.com/watch?v=Mm7UrZeu-74,577K,"7,967",140
6,Dow Plunges More Than 2000 Points On Coronavirus Fears | TODAY,90K views,TODAY,15 hours ago,12:02,https://www.youtube.com/watch?v=NkHtQP36f08,1.77M,644,64
7,NY governor: We're not going to stop coronavirus at this rate of testing,307K views,CNN,7 hours ago,11:01,https://www.youtube.com/watch?v=5Y7qcAOpw8o,8.72M,"3,521","1,057"
8,Trump Walks Away While Asked If He Has Been Tested For Coronavirus | NBC News NOW,146K views,NBC News,1 day ago,2:12,https://www.youtube.com/watch?v=Ynq25fku2oE,1.96M,"1,259",247
9,Donald Trump Terrified of Getting Coronavirus,1.4M views,Jimmy Kimmel Live,1 day ago,9:25,https://www.youtube.com/watch?v=7ictWi987oo,16.3M,"23,401","1,888"
10,New York reels with largest coronavirus outbreak in US | WNT,363K views,ABC News,1 day ago,3:57,https://www.youtube.com/watch?v=7JedXOgOPC8,7.87M,"2,639",261
11,Whole of Italy put on lockdown over coronavirus outbreak,146K views,Sky News,1 day ago,1:44,https://www.youtube.com/watch?v=jxbsjr4-nis,1.87M,"1,424",65
12,Coronavirus: The Rippling Effects Of School Closures On Students | NBC Nightly News,127K views,NBC News,1 day ago,1:54,https://www.youtube.com/watch?v=rictoiXWkLE,1.96M,469,185
13,New York City Mayor Bill de Blasio Gives A Coronavirus Update | NBC News (Live Stream Recording),159K views,NBC News,Streamed 1 day ago,2:08:19,https://www.youtube.com/watch?v=xXh7jUxfdak,1.96M,"1,310",282
14,Coronavirus outbreak: U.S. task force releases new prevention guidelines,148K views,Global News,Streamed 1 day ago,43:50,https://www.youtube.com/watch?v=Du15BUuoBa4,1.21M,868,391
15,All of Italy under restrictions over coronavirus outbreak,906K views,CNN,1 day ago,8:36,https://www.youtube.com/watch?v=lm7Xi3cw6dY,8.72M,"7,330","1,277"
16,Ruhle: 'Fears Of A Global Recession Are Real' Due To Coronavirus | The 11th Hour | MSNBC,97K views,MSNBC,23 hours ago,4:12,https://www.youtube.com/watch?v=uoatqz2WV70,2.42M,788,63
17,Governor Cuomo Gives Updates On Coronavirus In New York | Katy Tur | MSNBC,115K views,MSNBC,1 day ago,5:36,https://www.youtube.com/watch?v=06Q1CQd33zM,2.42M,780,266
18,"As Coronavirus Spreads Nationwide, Cruise Ship Heads To Port In California | TODAY",307K views,TODAY,1 day ago,9:51,https://www.youtube.com/watch?v=qBaAGGcKf4w,1.77M,"1,852",333
19,'Containment Zone' Set Up Around NYC-Area Coronavirus Epicenter | MSNBC,53K views,MSNBC,10 hours ago,3:12,https://www.youtube.com/watch?v=QcnGXne9KfU,2.42M,459,77
20,Coronavirus: Trump Visits the CDC & Italy Locks Down | The Daily Show,1.5M views,The Daily Show with Trevor Noah,1 day ago,6:15,https://www.youtube.com/watch?v=ljO5VT3_ARY,6.53M,"31,590",931
21,CNN polled Americans about coronavirus. Here's what they said,456K views,CNN,1 day ago,3:27,https://www.youtube.com/watch?v=4Vsjtvm4cyA,8.72M,"3,882",815
22,Coronavirus: Italy extends strict measures to whole country – BBC News,1.3M views,BBC News,1 day ago,17:15,https://www.youtube.com/watch?v=Z2mw6aglRuM,6.54M,"10,382",960
23,Coronavirus: Cruise Ship Carrying People With Coronavirus Docks In California | NBC Nightly News,292K views,NBC News,1 day ago,13:34,https://www.youtube.com/watch?v=sku3zWvLXnM,1.96M,"1,143",128
24,Coronavirus: Everything You NEED To Know - BBC,112K views,BBC,1 day ago,6:28,https://www.youtube.com/watch?v=5pIOZhUB4Bk,8.15M,"1,444",119
25,Coronavirus hits travel industry with biggest crisis since 9/11,104K views,CBS News,1 day ago,9:16,https://www.youtube.com/watch?v=FB8yR0vvCSY,2.39M,"1,033",116
26,Coronavirus: Financial markets tumble as death toll rises,105K views,Channel 4 News,1 day ago,34:30,https://www.youtube.com/watch?v=n6TOlFfe-zI,1.14M,"1,037",106
27,Coronavirus outbreak: Global markets tumble amid rising virus concerns,25K views,Global News,1 day ago,10:32,https://www.youtube.com/watch?v=JiESIQ9dY_E,1.21M,182,29
28,What the U.S. should do to stop the coronavirus spread,94K views,CBS This Morning,1 day ago,4:22,https://www.youtube.com/watch?v=L3pgCQB6cA4,1.23M,550,124
29,Trump administration delivers mixed messages on coronavirus,129K views,CBS News,1 day ago,8:55,https://www.youtube.com/watch?v=tnOEiUAOgzg,2.39M,653,651
30,Gottlieb: There will be a rapid acceleration of coronavirus cases in US,169K views,CNBC Television,1 day ago,8:00,https://www.youtube.com/watch?v=xEwlFcYAMf8,432K,"1,795",136
31,Is the Media Overreacting About Coronavirus? | Good Morning Britain,156K views,Good Morning Britain,1 day ago,11:06,https://www.youtube.com/watch?v=0A9Y4djRQcM,609K,"1,163",537
32,Coronavirus fear and plunging oil price send stock markets reeling,213K views,ABC News,1 day ago,6:19,https://www.youtube.com/watch?v=NHH-T12Xt-c,7.87M,"1,947",350
33,"Coronavirus ‘highly sensitive’ to warmer temperatures, Chinese study says",274K views,South China Morning Post,1 day ago,3:45,https://www.youtube.com/watch?v=GmrVSeoDnc4,923K,"3,535",147
34,Markets Plunge as Trump Lies About Coronavirus Response: A Closer Look,2.1M views,Late Night with Seth Meyers,1 day ago,14:44,https://www.youtube.com/watch?v=1b_QS4e31c8,3.49M,"40,849","1,466"
35,Fast moving developments in the coronavirus outbreak,694K views,ABC News,2 days ago,4:45,https://www.youtube.com/watch?v=ya3Pqasvyno,7.87M,"6,042",961
36,Coronavirus: Death toll soars in Italy  - BBC News,578K views,BBC News,1 day ago,8:34,https://www.youtube.com/watch?v=V2rS8k89BwY,6.54M,"4,810",450
37,New York Governor Cuomo Makes Coronavirus Announcement | NBC News (Live Stream Recording),238K views,NBC News,Streamed 1 day ago,36:48,https://www.youtube.com/watch?v=HqkzbmizjZc,1.96M,"2,266",417
38,"Commonly asked questions about the coronavirus, answered",79K views,CNN,1 day ago,9:17,https://www.youtube.com/watch?v=fGo5WqNjrOc,8.72M,709,176
39,How to Avoid Catching Coronavirus | The Daily Show,824K views,The Daily Show with Trevor Noah,1 day ago,6:30,https://www.youtube.com/watch?v=gWTAxF412NA,6.53M,"19,034",720
40,Ted Cruz will self-quarantine after interacting with individual with coronavirus at CPAC,1.1M views,CNN,2 days ago,6:32,https://www.youtube.com/watch?v=PbvVGko2LmI,8.72M,"8,937","1,974"
41,Coronavirus outbreak: Is COVID-19 worse than the flu?,59K views,Global News,1 day ago,6:24,https://www.youtube.com/watch?v=1BJRF7ZaOlQ,1.21M,349,81
42,Growing Fears Over Response To Coronavirus As Number Of Confirmed Cases Soar | NBC Nightly News,1.5M views,NBC News,2 days ago,11:09,https://www.youtube.com/watch?v=GLsXcv5zouQ,1.96M,"11,828","2,148"
43,Major lockdown in Italy from coronavirus,256K views,ABC News,2 days ago,2:00,https://www.youtube.com/watch?v=TlP6Tlj04T4,7.87M,"2,008",215
44,Coronavirus: Italy puts millions under quarantine | DW News,564K views,DW News,2 days ago,9:31,https://www.youtube.com/watch?v=ii84tOLbrN4,1.06M,"4,489",334
45,Grand Princess Cruise Ship Expected To Dock Monday After Coronavirus Concerns | NBC Nightly News,24K views,NBC News,2 days ago,2:25,https://www.youtube.com/watch?v=160lLLv9cvY,1.96M,153,14
46,California Governor Gavin Newsom gives update on coronavirus outbreak,122K views,CBS News,2 days ago,41:59,https://www.youtube.com/watch?v=uW3aTBcK3go,2.39M,"1,128",226
47,First UK Coronavirus death in Berkshire - BBC NEWS,203K views,BBC News,5 days ago,8:56,https://www.youtube.com/watch?v=qWoL8MsrwpU,6.54M,"1,565",130
48,HHS Sec. Azar provides an update on the coronavirus outbreak,80K views,Fox News,1 day ago,10:00,https://www.youtube.com/watch?v=aSBWlKC7reM,4.45M,"1,329",202
49,Coronavirus: Northern Italy quarantines 16 million people - BBC News,1.4M views,BBC News,2 days ago,6:14,https://www.youtube.com/watch?v=Lex_mt9o64o,6.54M,"12,896",789
50,Coronavirus-Stricken Cruise Ship To Dock In California On Monday | Sunday TODAY,316K views,TODAY,2 days ago,4:50,https://www.youtube.com/watch?v=KclqwrdXdp4,1.77M,"1,916",417
51,Coronavirus coverage noon March 9 2020,22K views,KING 5,1 day ago,7:42,https://www.youtube.com/watch?v=SEH7_03-is0,80.4K,195,12
52,Cuomo Declares State Of Emergency In New York For Coronavirus Outbreak | NBC News,24K views,NBC News,3 days ago,2:09,https://www.youtube.com/watch?v=yQW3ExxiaEI,1.96M,308,25
53,Watch live: D.C. mayor updates on coronavirus after first positive case,287K views,NBC News,Streamed 3 days ago,1:00:04,https://www.youtube.com/watch?v=Ebf0tY84j8U,1.96M,"1,220",305
54,Will coronavirus cause a global recession?,24K views,Sky News,1 day ago,1:41,https://www.youtube.com/watch?v=zwkljEx-ASc,1.87M,234,27
55,Tucker: We must remain calm but not complacent about the coronavirus,342K views,Fox News,1 day ago,7:10,https://www.youtube.com/watch?v=EbyPW8lJX2E,4.45M,"9,535",865
56,"Coronavirus Threat: To The Economy, And The Presidency | The Day That Was | MSNBC",268K views,MSNBC,2 days ago,5:55,https://www.youtube.com/watch?v=FdNJsy231Cs,2.42M,"3,053",219
57,Coronavirus lockdown in Italy as 16 million people quarantined,538K views,Channel 4 News,2 days ago,7:35,https://www.youtube.com/watch?v=jQsKe2n3bk4,1.14M,"3,666",281
58,Corona Virus के बारे में जनता की जानकारी | Q&A | Coronavirus Disease | COVID 19 | Precautions | WHO,137K views,The Lallantop,3 days ago,4:37,https://www.youtube.com/watch?v=DoMTUTuDtGE,12M,"1,621",244
59,'Very difficult to tell' what coronavirus death toll will be,100K views,Sky News,2 days ago,6:39,https://www.youtube.com/watch?v=QTRq1NWjWZA,1.87M,630,115
60,Journalist goes undercover at wet markets where the Coronavirus started | 60 Minutes Australia,1.9M views,60 Minutes Australia,2 days ago,27:31,https://www.youtube.com/watch?v=Y7nZ4mw4mXw,1.62M,"22,594","3,215"
61,State of Emergency in New York with at least 76 coronavirus cases,471K views,ABC News,3 days ago,2:52,https://www.youtube.com/watch?v=b7aX6-NkWaM,7.87M,"3,466",584
62,Wuhan Today: Food delivery in coronavirus epicenter,161K views,New China TV,1 day ago,4:56,https://www.youtube.com/watch?v=TAsTMl3txyQ,684K,"1,468",77
63,"At least 12 dead, 188 infected in US as coronavirus continues to spread | Nightline",1.4M views,ABC News,3 days ago,8:02,https://www.youtube.com/watch?v=7hB13abLQkE,7.87M,"13,255","1,812"
64,Coronavirus: Milan set for lockdown,534K views,Sky News,3 days ago,3:11,https://www.youtube.com/watch?v=Zh3YBVjDXfY,1.87M,"3,258",197
