,title,view,channel,uploadtime,length,link,subscriber,like,dislike,clean_text
0,Unprecedented restrictions in Italy over coronavirus outbreak,22000,CNN,3,498,https://www.youtube.com/watch?v=v_vDjR5zBDk,8710000,735,124,unprecedented restriction italy coronavirus outbreak
1,New York reels with largest coronavirus outbreak in US | WNT,264000,ABC News,11,237,https://www.youtube.com/watch?v=7JedXOgOPC8,7860000,2082,223,new york reel largest coronavirus outbreak u wnt
2,Trump urges calm at coronavirus task force briefing,442000,CBS News,10,351,https://www.youtube.com/watch?v=zSfbAP3emSE,2390000,2610,2208,trump urge calm coronavirus task force briefing
3,Governor Cuomo Gives Updates On Coronavirus In New York | Katy Tur | MSNBC,98000,MSNBC,14,336,https://www.youtube.com/watch?v=06Q1CQd33zM,2420000,711,253,governor cuomo give update coronavirus new york katy tur msnbc
4,Coronavirus: Cruise Ship Carrying People With Coronavirus Docks In California | NBC Nightly News,209000,NBC News,10,814,https://www.youtube.com/watch?v=sku3zWvLXnM,1960000,919,101,coronavirus cruise ship carrying people coronavirus dock california nbc nightly news
5,Growing Fears Over Response To Coronavirus As Number Of Confirmed Cases Soar | NBC Nightly News,1300000,NBC News,24,669,https://www.youtube.com/watch?v=GLsXcv5zouQ,1960000,10797,1975,growing fear response coronavirus number confirmed case soar nbc nightly news
6,Fast moving developments in the coronavirus outbreak,605000,ABC News,24,285,https://www.youtube.com/watch?v=ya3Pqasvyno,7860000,5563,839,fast moving development coronavirus outbreak
7,CNN polled Americans about coronavirus. Here's what they said,364000,CNN,14,207,https://www.youtube.com/watch?v=4Vsjtvm4cyA,8710000,3357,678,cnn polled american coronavirus here said
8,Fmr. Obama Economist: Trump's Coronavirus Payroll Tax Cut Not The Answer | The Last Word | MSNBC,50000,MSNBC,7,281,https://www.youtube.com/watch?v=AvLWF12Lpbs,2420000,921,130,fmr obama economist trump coronavirus payroll tax cut answer last word msnbc
9,California Governor Gavin Newsom gives update on coronavirus outbreak,122000,CBS News,24,151140,https://www.youtube.com/watch?v=uW3aTBcK3go,2390000,1095,214,california governor gavin newsom give update coronavirus outbreak
10,Coronavirus: Answering 4 of the most 'Googled' questions | USA TODAY,185000,USA TODAY,21,192,https://www.youtube.com/watch?v=jK5NVWfFBO8,1360000,1267,341,coronavirus answering googled question usa today
11,Ted Cruz will self-quarantine after interacting with individual with coronavirus at CPAC,1100000,CNN,24,392,https://www.youtube.com/watch?v=PbvVGko2LmI,8710000,8861,1956,ted cruz selfquarantine interacting individual coronavirus cpac
12,Coronavirus lockdown in Italy as 16 million people quarantined,507000,Channel 4 News,24,455,https://www.youtube.com/watch?v=jQsKe2n3bk4,1130000,3538,272,coronavirus lockdown italy million people quarantined
13,"Coronavirus outbreak: Oregon governor, health officials to give update on COVID-19 response",106000,Global News,24,1048,https://www.youtube.com/watch?v=ZSbfh5Ny4ww,1210000,887,146,coronavirus outbreak oregon governor health official give update covid response
14,Journalist goes undercover at wet markets where the Coronavirus started | 60 Minutes Australia,1300000,60 Minutes Australia,24,99060,https://www.youtube.com/watch?v=Y7nZ4mw4mXw,1610000,15318,2190,journalist go undercover wet market coronavirus started minute australia
15,Coronavirus: Italy puts millions under quarantine | DW News,545000,DW News,24,571,https://www.youtube.com/watch?v=ii84tOLbrN4,1060000,4424,324,coronavirus italy put million quarantine dw news
16,"CDC, White House send conflicting messages on coronavirus",56000,Washington Post,24,229,https://www.youtube.com/watch?v=p7Neyh65Qe8,992000,419,167,cdc white house send conflicting message coronavirus
17,Watch live: New York City Mayor de Blasio gives coronavirus update,189000,NBC News,24,5504,https://www.youtube.com/watch?v=_3Mn-mJdHUo,1960000,1493,485,watch live new york city mayor de blasio give coronavirus update
18,Coronavirus death toll rises in Italy to 366 as quarter of population on lockdown | ITV News,615000,ITV News,24,129,https://www.youtube.com/watch?v=t62aK_9Ptmg,433000,2452,310,coronavirus death toll rise italy quarter population lockdown itv news
19,Washington Planning Ahead For Expected Coronavirus Surge | Rachel Maddow | MSNBC,8400,MSNBC,3,269,https://www.youtube.com/watch?v=S0Z79LzNpdU,2420000,525,47,washington planning ahead expected coronavirus surge rachel maddow msnbc
20,Testing Flaws And Capacity Issues Slow U.S. Response To Coronavirus Spread | Meet The Press,35000,NBC News,24,194,https://www.youtube.com/watch?v=V4ZuNqTqm1w,1960000,325,54,testing flaw capacity issue slow u response coronavirus spread meet press
21,Major lockdown in Italy from coronavirus,257000,ABC News,24,120,https://www.youtube.com/watch?v=TlP6Tlj04T4,7860000,1883,201,major lockdown italy coronavirus
22,"Coronavirus Threat: To The Economy, And The Presidency | The Day That Was | MSNBC",264000,MSNBC,24,355,https://www.youtube.com/watch?v=FdNJsy231Cs,2420000,3021,215,coronavirus threat economy presidency day msnbc
23,State of Emergency in New York with at least 76 coronavirus cases,467000,ABC News,48,172,https://www.youtube.com/watch?v=b7aX6-NkWaM,7860000,3449,582,state emergency new york least coronavirus case
24,Doctor Answers Commonly Googled Questions About Coronavirus,358000,BuzzFeedVideo,24,493,https://www.youtube.com/watch?v=hHEBCk0SQA8,20000000,12421,407,doctor answer commonly googled question coronavirus
25,Gov. Cuomo Updates on Coronavirus in NY,37000,NBC New York,24,101460,https://www.youtube.com/watch?v=wmNI0atk-7Y,108000,292,79,gov cuomo update coronavirus ny
