,title,view,channel,uploadtime,length,link,subscriber,like,dislike
0,"Coronavirus: 'Get prepared as soon as you can', says Italian doctor",528K views,Sky News,8 hours ago,9:32,https://www.youtube.com/watch?v=61-gFtHJOd8,1.89M,"8,297",278
1,WATCH LIVE: Trump gives coronavirus update,430K views,Washington Post,Streamed 8 hours ago,3:41:40,https://www.youtube.com/watch?v=yH4cp4dssGw,1M,"3,088","1,275"
2,Coronavirus special: Are we doing enough?,576K views,Channel 4 News,1 day ago,45:14,https://www.youtube.com/watch?v=C98FmoZVbjs,1.17M,"4,633",587
3,Coronavirus outbreak: Donald Trump declares national emergency over COVID-19 | FULL,634K views,Global News,Streamed 1 day ago,1:12:36,https://www.youtube.com/watch?v=HMGHiI44-XY,1.25M,"4,407","1,215"
4,Coronavirus: Europe at the epicentre of the pandemic - BBC News,1.1M views,BBC News,1 day ago,11:51,https://www.youtube.com/watch?v=IQdYDkwtvoo,6.6M,"8,246","1,113"
5,Infection Rate Charts Forecast Steep Rise In US Coronavirus Cases | Rachel Maddow | MSNBC,391K views,MSNBC,22 hours ago,5:48,https://www.youtube.com/watch?v=m2HgeK73ctU,2.45M,"4,264",298
6,Iran is building a massive grave for coronavirus victims,365K views,Washington Post,1 day ago,3:43,https://www.youtube.com/watch?v=fjuWyXzKBIw,1M,"2,408",447
7,"Coronavirus outbreak: Canadians urged not to ""panic buy""; Should schools close over COVID-19?",84K views,Global News,1 day ago,3:27,https://www.youtube.com/watch?v=KqM8rHkMUT8,1.25M,673,57
8,"WHO says Europe new coronavirus pandemic epicentre as global covid-19 death toll passes 5,000",399K views,Channel 4 News,1 day ago,29:58,https://www.youtube.com/watch?v=vsV_PJ3txn8,1.17M,"2,730",183
9,What the 1918 influenza pandemic can teach us about the coronavirus outbreak,25K views,Washington Post,1 day ago,3:44,https://www.youtube.com/watch?v=-B5YCQamLes,1M,356,17
10,Coronavirus controversy: Chinese official suggests US is responsible,556K views,Fox News,1 day ago,2:44,https://www.youtube.com/watch?v=hZftihVyq9E,4.49M,"3,451","1,063"
11,Miami mayor who tested positive for coronavirus speaks on quarantine experience,134K views,ABC News,1 day ago,5:27,https://www.youtube.com/watch?v=Lw1svqRG5bU,7.93M,"1,217",82
12,Hungry monkeys brawl over food as coronavirus hits tourism in Thailand,552K views,Guardian News,1 day ago,0:41,https://www.youtube.com/watch?v=22JgHBb-0dg,857K,"1,736",97
13,Trump Holds News Conference On Coronavirus Pandemic | NBC News (Live Stream Recording),3M views,NBC News,Streamed 1 day ago,2:16:48,https://www.youtube.com/watch?v=q_WM_pMp0Hg,2.02M,"20,044","8,205"
14,Chinese foreign ministry spokesman claims US army brought coronavirus to Wuhan,114K views,South China Morning Post,1 day ago,1:55,https://www.youtube.com/watch?v=whJwOkeBV5c,943K,"1,447",704
15,"Disney theme parks, American landmarks close amid coronavirus l ABC News",98K views,ABC News,1 day ago,4:20,https://www.youtube.com/watch?v=xGpew-tPga4,7.93M,661,111
16,Millions across the globe on lockdown over coronavirus,147K views,ABC News,1 day ago,6:20,https://www.youtube.com/watch?v=6izmzP-cFBU,7.93M,"1,782",128
17,"ABC News Prime: Coronavirus national emergency, life under quarantine, stock market",301K views,ABC News,Streamed 1 day ago,1:00:33,https://www.youtube.com/watch?v=wDbyThHkctA,7.93M,"2,173",328
18,Coronavirus: How the UK is following its own path to battle the pandemic,523K views,The Telegraph,1 day ago,3:01,https://www.youtube.com/watch?v=f6jYyCX2aUs,943K,"2,986","3,003"
19,Gov. DeWine says Ohio estimated to have over 100K cases of coronavirus,352K views,Fox News,1 day ago,5:18,https://www.youtube.com/watch?v=HnjvX8oLBdo,4.49M,"2,450",952
20,U.K. Prime Minister Boris Johnson delivers grim coronavirus warning,136K views,CBS This Morning,1 day ago,2:36,https://www.youtube.com/watch?v=d9UKDjoOfEw,1.24M,488,132
21,Coronavirus update: Thursday 12 March | ITV News,268K views,ITV News,2 days ago,1:21,https://www.youtube.com/watch?v=ILsobeNEtwA,442K,"1,509",275
22,Coronavirus outbreak: Justin Trudeau addresses his wife's COVID-19 diagnosis | FULL,358K views,Global News,Streamed 1 day ago,52:54,https://www.youtube.com/watch?v=SjEgtT98jqk,1.25M,"2,637",829
23,"Coronavirus Impacts Tom Hanks, the NBA and Monkeys in Thailand | The Daily Show",1.7M views,The Daily Show with Trevor Noah,1 day ago,6:24,https://www.youtube.com/watch?v=4IlwdyacDZg,6.61M,"37,741","1,022"
