,title,view,channel,uploadtime,length,link,subscriber,like,dislike
0,俳優トム・ハンクスさんが新型コロナウイルスに感染(20/03/12),16K views,ANNnewsCH,4 hours ago,1:08,https://www.youtube.com/watch?v=bcUMVkC6nAk,976K,357,19
1,WHO表明　新型コロナは「パンデミック」(20/03/12),25K views,ANNnewsCH,11 hours ago,0:53,https://www.youtube.com/watch?v=TOC83mB6z-o,976K,120,217
2,新型コロナウイルス　新たな感染者59人確認(20/03/11),77K views,ANNnewsCH,1 day ago,1:04,https://www.youtube.com/watch?v=wJvbIbqgZo4,976K,240,42
3,第12回東京都新型コロナウイルス対策本部会議　（令和2年3月12日）,749 views,tokyo,5 hours ago,19:31,https://www.youtube.com/watch?v=L32WqacmxSU,57.2K,19,2
4,【報ステ】イタリアで感染者が急増　その理由は・・・(20/03/10),369K views,ANNnewsCH,1 day ago,4:38,https://www.youtube.com/watch?v=4Ci0HG4DpGE,976K,"1,095",388
5,兵庫県で新たに3人が感染　新型コロナウイルス,2.5K views,サンテレビ,2 days ago,1:14,https://www.youtube.com/watch?v=W8HOTbNCBr4,29.1K,,
6,群馬県内で初の新型コロナウイルス感染者が出た太田市で対策本部会議(20/03/08),19K views,群馬テレビ・群テレ,3 days ago,2:37,https://www.youtube.com/watch?v=e10qy0VgT2g,7.14K,65,22
7,世界で感染者 約12万人,85K views,テレ東NEWS,23 hours ago,4:08,https://www.youtube.com/watch?v=H8o_9HIVzUI,299K,743,33
8,名古屋市で新たに10人が新型コロナウイルス感染(20/03/08),35K views,ANNnewsCH,3 days ago,0:55,https://www.youtube.com/watch?v=vOdWsFgMWrw,976K,184,21
9,名古屋市の死亡男性から新型コロナ　感染者と接触も(20/03/08),42K views,ANNnewsCH,4 days ago,0:48,https://www.youtube.com/watch?v=2FL7UGBfuL8,976K,213,29
10,【いわき市の会見】新型コロナウイルスの感染者確認,16K views,中テレ公式チャンネル,4 days ago,31:36,https://www.youtube.com/watch?v=mrigo1JYj9Q,3.47K,,
11,新型コロナウイルスに関する福島県知事緊急記者会見,147K views,FTV8,Streamed 4 days ago,22:41,https://www.youtube.com/watch?v=GmmB8zFuzuU,7.96K,,
12,【ノーカット】総理 新型コロナ緊急対応策第2弾発表(20/03/10),113K views,ANNnewsCH,1 day ago,5:44,https://www.youtube.com/watch?v=0vnn9zb7VDE,976K,596,152
13,346人が退院済み 新型コロナウイルスの感染者 兵庫で感染も,22K views,FNN.jpプライムオンライン,2 days ago,0:59,https://www.youtube.com/watch?v=xUFdgX8H64c,202K,184,18
14,新型コロナ便乗の詐欺にデマ　実害被ったスーパー(20/03/10),34K views,ANNnewsCH,1 day ago,3:14,https://www.youtube.com/watch?v=xR6LXdT6jOc,976K,135,20
15,症状、予防法…　新型ウイルスに感染した人が、いま伝えたいこと,39K views,SankeiNews,1 day ago,2:35,https://www.youtube.com/watch?v=zpI8cvniHjE,223K,675,16
16,JAL客室乗務員が感染　拡大止まらず・・・新たな死者も(20/03/09),148K views,ANNnewsCH,2 days ago,2:38,https://www.youtube.com/watch?v=F0v01jNRVho,976K,286,60
17,新型コロナウイルス感染症とは＝専門医に聞く,53 views,時事通信トレンドニュース,1 hour ago,2:38,https://www.youtube.com/watch?v=1LANsKfJxS0,126K,4,0
18,静岡県で初の新型コロナウイルス感染者(20/02/28),49K views,ANNnewsCH,1 week ago,0:10,https://www.youtube.com/watch?v=FB_fg96b1JI,976K,210,33
19,中国・武漢で発生の新型コロナウイルス日本で初確認(20/01/16),27K views,ANNnewsCH,1 month ago,0:35,https://www.youtube.com/watch?v=khA8urmhZIU,976K,74,162
20,仏で新型コロナウイルス感染者　拡大の懸念強まる(13/05/11),74K views,ANNnewsCH,6 years ago,0:58,https://www.youtube.com/watch?v=aPJzTnH5u-w,976K,285,26
21,新型コロナウイルスに感染　都内の80代男性が死亡(20/02/26),26K views,ANNnewsCH,2 weeks ago,0:56,https://www.youtube.com/watch?v=YLRv-yZFdYU,976K,79,48
22,福島県で初の新型コロナウイルスの感染者確認で県が会見,13K views,KFB 5channel,4 days ago,3:01,https://www.youtube.com/watch?v=PswZdToQaIM,2.46K,64,8
23,福島県で初の新型コロナ感染者　クルーズ船の元乗客(20/03/08),32K views,ANNnewsCH,4 days ago,0:50,https://www.youtube.com/watch?v=IxcXXoALedY,976K,120,24
24,【新型コロナウイルス】新型肺炎について～正しい情報で正しい行動を～,129K views,川崎市,1 month ago,19:13,https://www.youtube.com/watch?v=I6j2JgSqiww,2.17K,,
25,新型コロナウイルス感染を防ぐために私たちができること,8.1K views,HTB北海道テレビ,1 week ago,1:01,https://www.youtube.com/watch?v=0RroTv2Zf4w,33.6K,61,5
26,中国本土の死者は3000人超える　新型コロナウイルス(20/03/05),28K views,ANNnewsCH,1 week ago,0:32,https://www.youtube.com/watch?v=3DHjDypDzDI,976K,84,53
27,公立高校の一般入試始まる　新型コロナウイルス感染拡大防止対策も　岡山,486 views,ksb5ch,2 days ago,1:00,https://www.youtube.com/watch?v=JKoDN_uO98I,27.1K,,
28,新型コロナウイルス　姫路市の看護師の感染確認,3.5K views,サンテレビ,3 days ago,2:01,https://www.youtube.com/watch?v=blBDUfFutYk,29.1K,,
29,中国で肺炎患者から「新型コロナウイルス」検出(20/01/09),20K views,ANNnewsCH,2 months ago,0:57,https://www.youtube.com/watch?v=Zt5oUpp4qaA,976K,81,72
30,第11回東京都新型コロナウイルス対策本部会議（令和2年3月3日開催）,21K views,tokyo,1 week ago,35:28,https://www.youtube.com/watch?v=7Eo_9dI8_l0,57.2K,73,19
